,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
0,67.5,68.49,66.65,68.37,36281800,'BRL',0,VALE3,20/07/2022
1,70.28,70.28,68.7,68.73,21928900,'BRL',0,VALE3,19/07/2022
2,68.35,69.25,68.0,68.88,21678900,'BRL',0,VALE3,18/07/2022
3,68.44,68.44,66.19,67.35,30831500,'BRL',0,VALE3,17/07/2022
4,29.84,30.44,29.73,30.31,5812400,'BRL',1,PETR3,20/07/2022
5,30.8,31.4,30.75,31.32,13326900,'BRL',0,PETR3,19/07/2022
6,31.25,31.81,31.05,31.67,11595300,'BRL',0,PETR3,18/07/2022
7,31.49,31.88,31.44,31.64,8785400,'BRL',1,PETR3,17/07/2022
8,19.31,19.71,19.15,19.61,392800,'BRL',1,ITUB3,20/07/2022
9,19.65,19.94,19.6,19.77,232800,'BRL',1,ITUB3,19/07/2022
10,19.82,20.38,19.79,20.31,934900,'BRL',1,ITUB3,18/07/2022
11,20.21,20.32,19.98,20.04,336200,'BRL',1,ITUB3,17/07/2022
12,32.6,33.61,32.22,33.28,12164100,'BRL',0,BBAS3,20/07/2022
13,33.49,34.07,33.38,33.75,10859000,'BRL',0,BBAS3,19/07/2022
14,33.97,34.7,33.8,34.66,15287800,'BRL',0,BBAS3,18/07/2022
15,34.54,35.03,34.42,34.58,6737000,'BRL',1,BBAS3,17/07/2022
16,13.73,13.86,13.55,13.75,4039900,'BRL',1,BBDC3,20/07/2022
17,13.83,14.02,13.72,13.86,4625100,'BRL',1,BBDC3,19/07/2022
18,13.9,14.34,13.86,14.33,5933500,'BRL',1,BBDC3,18/07/2022
19,14.27,14.35,14.05,14.07,4891200,'BRL',1,BBDC3,17/07/2022
20,43.61,44.2,42.48,44.05,10719000,'BRL',0,ELET3,20/07/2022
21,44.23,45.05,43.45,43.89,7870500,'BRL',1,ELET3,19/07/2022
22,44.04,44.43,43.77,44.22,6444200,'BRL',1,ELET3,18/07/2022
23,44.83,45.3,44.19,44.31,9960500,'BRL',1,ELET3,17/07/2022
24,8.64,8.85,8.53,8.79,147300,'BRL',0,ITSA3,20/07/2022
25,8.81,9.02,8.75,8.8,160800,'BRL',0,ITSA3,19/07/2022
26,8.85,9.07,8.85,8.96,89800,'BRL',1,ITSA3,18/07/2022
27,9.0,9.03,8.94,8.94,38700,'BRL',0,ITSA3,17/07/2022
28,47.45,47.69,46.84,47.18,1121200,'BRL',0,VIVT3,20/07/2022
29,47.19,47.49,46.85,46.91,1110800,'BRL',0,VIVT3,19/07/2022
30,47.03,47.77,46.71,47.51,1409800,'BRL',0,VIVT3,18/07/2022
31,47.16,48.19,46.92,46.97,994900,'BRL',1,VIVT3,17/07/2022
32,30.6,30.65,29.96,30.02,3006400,'BRL',1,JBSS3,20/07/2022
33,30.03,30.37,29.56,29.78,6105600,'BRL',1,JBSS3,19/07/2022
34,29.77,29.99,29.3,29.63,6208700,'BRL',1,JBSS3,18/07/2022
35,29.44,29.95,29.21,29.72,3383600,'BRL',1,JBSS3,17/07/2022
36,24.76,25.4,24.52,25.07,11696900,'BRL',0,LREN3,20/07/2022
37,25.44,26.03,24.84,25.04,15824200,'BRL',0,LREN3,19/07/2022
38,25.21,25.58,24.34,24.74,8488200,'BRL',1,LREN3,18/07/2022
39,24.69,25.21,24.5,24.95,5199900,'BRL',1,LREN3,17/07/2022
40,2.97,2.99,2.75,2.78,153379696,'BRL',0,MGLU3,20/07/2022
41,2.85,3.07,2.74,2.77,195764304,'BRL',0,MGLU3,19/07/2022
42,2.83,2.88,2.64,2.79,185036192,'BRL',0,MGLU3,18/07/2022
43,2.79,3.05,2.79,2.99,176978400,'BRL',0,MGLU3,17/07/2022
44,30.85,31.82,30.85,31.62,337990,'BRL',1,FBOK34,20/07/2022
45,32.09,32.91,31.8,32.25,281340,'BRL',0,FBOK34,19/07/2022
46,32.46,34.12,32.46,34.12,807663,'BRL',1,FBOK34,18/07/2022
47,34.26,35.46,34.08,35.32,367991,'BRL',1,FBOK34,17/07/2022
48,29.42,29.51,29.33,29.33,900,'BRL',1,TRPL3,20/07/2022
49,29.33,29.85,29.26,29.26,1400,'BRL',0,TRPL3,19/07/2022
50,29.26,29.5,29.26,29.5,1600,'BRL',0,TRPL3,18/07/2022
51,29.99,29.99,29.98,29.98,400,'BRL',1,TRPL3,17/07/2022
52,39.03,40.48,38.8,39.86,4143200,'BRL',1,HYPE3,20/07/2022
53,40.37,40.37,39.5,39.59,2061300,'BRL',0,HYPE3,19/07/2022
54,40.15,41.06,39.95,40.5,5108500,'BRL',1,HYPE3,18/07/2022
55,40.49,40.69,38.35,38.78,2005700,'BRL',0,HYPE3,17/07/2022
56,20.7,21.0,20.44,20.85,6675900,'BRL',1,RADL3,20/07/2022
57,20.98,21.04,20.49,20.59,9384800,'BRL',1,RADL3,19/07/2022
58,20.65,20.73,20.12,20.19,4579800,'BRL',1,RADL3,18/07/2022
59,20.08,20.26,19.57,19.6,5149700,'BRL',1,RADL3,17/07/2022
60,6.91,6.93,6.5,6.51,13752200,'BRL',0,CVCB3,20/07/2022
61,6.69,6.93,6.4,6.44,15302100,'BRL',0,CVCB3,19/07/2022
62,6.48,6.63,6.36,6.55,11211000,'BRL',0,CVCB3,18/07/2022
63,6.64,7.12,6.59,6.95,14674800,'BRL',0,CVCB3,17/07/2022
