,Open,High,Low,Close,Volume,Moeda,Subiu,Acao,Data
0,49.87,50.17,49.24,49.61,16380000,'BRL',0,VALE3,2022-07-20
1,49.32,49.35,48.36,48.71,28917900,'BRL',0,VALE3,2022-07-19
2,48.9,49.16,47.98,48.34,19552600,'BRL',0,VALE3,2022-07-18
3,48.88,49.09,47.85,48.02,17132400,'BRL',0,VALE3,2022-07-17
4,47.79,48.02,47.18,47.81,22429300,'BRL',0,VALE3,2022-07-16
5,48.22,50.29,48.12,50.07,35055600,'BRL',0,VALE3,2022-07-15
6,49.53,49.9,49.12,49.23,21467000,'BRL',0,VALE3,2022-07-14
7,49.94,51.36,49.65,51.36,29283800,'BRL',0,VALE3,2022-07-13
8,50.83,50.89,49.49,49.99,31832200,'BRL',0,VALE3,2022-07-12
9,49.85,50.76,49.36,49.54,26234400,'BRL',0,VALE3,2022-07-11
10,50.47,51.14,49.17,49.17,35687900,'BRL',0,VALE3,2022-07-10
11,49.17,49.64,48.43,49.53,182428000,'BRL',0,VALE3,2022-07-09
12,50.51,51.32,50.47,50.74,36895200,'BRL',0,VALE3,2022-07-08
13,51.09,51.31,50.0,50.45,22397100,'BRL',0,VALE3,2022-07-07
14,50.09,50.09,48.78,49.32,28316100,'BRL',0,VALE3,2022-07-06
15,49.53,50.75,49.29,50.75,29165200,'BRL',0,VALE3,2022-07-05
16,51.23,51.26,49.09,49.19,23648100,'BRL',0,VALE3,2022-07-04
17,49.68,50.83,49.43,50.18,29424100,'BRL',0,VALE3,2022-07-03
18,50.1,50.72,49.05,49.24,24756900,'BRL',0,VALE3,2022-07-02
19,49.24,50.12,49.2,50.06,17812500,'BRL',0,VALE3,2022-07-01
20,50.41,51.08,49.9,50.78,42705500,'BRL',0,VALE3,2022-06-30
21,51.65,51.98,51.28,51.45,32042100,'BRL',0,VALE3,2022-06-29
22,51.74,52.12,50.86,50.91,23406300,'BRL',0,VALE3,2022-06-28
23,50.44,51.81,50.32,51.36,25691100,'BRL',0,VALE3,2022-06-27
24,50.92,51.23,50.19,50.75,27173400,'BRL',0,VALE3,2022-06-26
25,51.36,51.51,50.78,51.37,17802300,'BRL',0,VALE3,2022-06-25
26,51.24,51.27,49.81,50.28,23332300,'BRL',0,VALE3,2022-06-24
27,50.31,50.87,49.97,50.38,23823300,'BRL',0,VALE3,2022-06-23
28,50.34,50.74,49.23,49.6,18012100,'BRL',0,VALE3,2022-06-22
29,49.92,50.34,49.47,49.85,14980900,'BRL',0,VALE3,2022-06-21
30,49.85,49.9,48.7,48.7,30798100,'BRL',0,VALE3,2022-06-20
31,49.19,50.42,49.12,50.39,24068700,'BRL',0,VALE3,2022-06-19
32,50.51,50.87,49.22,50.03,21650900,'BRL',0,VALE3,2022-06-18
33,48.96,49.41,48.02,48.4,35951300,'BRL',0,VALE3,2022-06-17
